yearmo,SENT,SENT_ORTH
197908,-0.705485463142395,-0.548220157623291
197909,-0.678302526473999,-0.4063241183757782
197910,-0.9717280268669128,-0.7488949298858643
197911,-0.9167779684066772,-0.7083925604820251
197912,-0.8493217825889587,-0.6125353574752808
198001,-0.9261893630027771,-0.6703895330429077
198002,-0.9256982803344727,-0.6515882611274719
198003,-0.7482970952987671,-0.7685453295707703
198004,-0.7932769060134888,-0.6133227944374084
198005,-0.5369277000427246,-0.3119969964027405
198006,-0.46367162466049194,-0.24570457637310028
198007,-0.4151310324668884,-0.4012494683265686
198008,-0.48822787404060364,-0.5873090624809265
198009,-0.5499778985977173,-0.4735231101512909
198010,-0.541189432144165,-0.4415269196033478
198011,-0.3481992781162262,-0.26527857780456543
198012,0.03875041753053665,0.049487315118312836
198101,0.08299756050109863,0.07163622975349426
198102,0.2880743145942688,0.4313666522502899
198103,0.42277470231056213,0.6323082447052002
198104,0.39616137742996216,0.6866471767425537
198105,0.2697731554508209,0.5282472372055054
198106,0.46089833974838257,0.6440703868865967
198107,0.2669019103050232,0.400685578584671
198108,0.49814164638519287,0.6379054188728333
198109,0.7088821530342102,0.6727503538131714
198110,0.731961727142334,0.6152308583259583
198111,0.900048553943634,0.8755683302879333
198112,1.1513869762420654,1.1022851467132568
198201,0.962504506111145,0.8117459416389465
198202,1.0940386056900024,0.705303966999054
198203,1.2530890703201294,0.8371912837028503
198204,1.1030991077423096,0.7777771949768066
198205,1.1818376779556274,1.0066663026809692
198206,1.1207715272903442,0.9976437091827393
198207,0.9366688132286072,0.7482989430427551
198208,0.7317401170730591,0.36405685544013977
198209,0.611717700958252,0.27858614921569824
198210,0.5707808136940002,0.27825722098350525
198211,0.6397737860679626,0.2506465017795563
198212,0.6746473908424377,0.26985418796539307
198301,0.4959724545478821,0.24174779653549194
198302,0.3606473207473755,0.12671715021133423
198303,0.14824679493904114,-0.15626490116119385
198304,0.2715417444705963,0.01272275485098362
198305,0.21095333993434906,-0.1373278796672821
198306,0.28366684913635254,0.06441617757081985
198307,0.49475058913230896,0.20406068861484528
198308,0.48049843311309814,0.1511533260345459
198309,0.6156627535820007,0.22770680487155914
198310,1.2096338272094727,0.9207391142845154
198311,1.4798469543457031,1.1513757705688477
198312,1.6692568063735962,1.3063533306121826
198401,2.113725185394287,1.929717779159546
198402,2.287229537963867,2.2746970653533936
198403,2.225665330886841,2.1116676330566406
198404,1.9252876043319702,1.7897131443023682
198405,2.1983768939971924,2.0133626461029053
198406,2.215641498565674,1.971451997756958
198407,2.1319198608398438,1.9785548448562622
198408,1.7942225933074951,1.7490417957305908
198409,1.7789816856384277,1.775691270828247
198410,1.4388493299484253,1.4608453512191772
198411,1.48045015335083,1.4295721054077148
198412,1.2791720628738403,1.1405870914459229
198501,1.1597282886505127,0.9078630208969116
198502,1.0138553380966187,0.8805936574935913
198503,0.9527570009231567,0.9684543013572693
198504,0.9572970867156982,0.925408124923706
198505,0.8769711852073669,0.7722676992416382
198506,0.7648130655288696,0.64362633228302
198507,0.6978142857551575,0.6603697538375854
198508,0.7960720658302307,0.73722904920578
198509,0.7914192080497742,0.6504557728767395
198510,0.7007277011871338,0.712814450263977
198511,0.6475536227226257,0.5957913994789124
198512,0.7368565201759338,0.6287016868591309
198601,0.89516681432724,0.8153067827224731
198602,0.7568894624710083,0.7028846144676208
198603,0.7277676463127136,0.5902732610702515
198604,0.6873564124107361,0.5914575457572937
198605,0.7056956887245178,0.5369235873222351
198606,0.693950891494751,0.7014256715774536
198607,0.9538913369178772,0.9036279916763306
198608,1.0632870197296143,0.9847434163093567
198609,1.157463788986206,0.8359571099281311
198610,1.2097549438476562,1.2482402324676514
198611,1.3678866624832153,1.4107590913772583
198612,1.405280590057373,1.3956751823425293
198701,1.3326035737991333,1.397196888923645
198702,1.174089789390564,1.2189925909042358
198703,1.0719273090362549,1.151770830154419
198704,1.0803759098052979,1.076545000076294
198705,0.9573537111282349,0.8850716352462769
198706,0.8655043244361877,0.8770145773887634
198707,0.7100502252578735,0.6659796237945557
198708,0.5523414015769958,0.3784984052181244
198709,0.5856090188026428,0.16924986243247986
198710,0.4428740441799164,0.32172951102256775
198711,0.4877805709838867,0.5582223534584045
198712,0.15722154080867767,-0.07152289897203445
198801,0.16781805455684662,0.3231663405895233
198802,0.20593251287937164,0.21474120020866394
198803,0.09299565851688385,0.07358518987894058
198804,-0.06825535744428635,-0.04574885591864586
198805,-0.07763945311307907,-0.022175190970301628
198806,-0.17907439172267914,-0.17043514549732208
198807,-0.2982844412326813,-0.31026431918144226
198808,-0.31448808312416077,-0.4117802083492279
198809,-0.3926588296890259,-0.3478016257286072
198810,-0.5593556761741638,-0.42766138911247253
198811,-0.5510081648826599,-0.4189334511756897
198812,-0.5101932287216187,-0.4278566837310791
198901,-0.5317195653915405,-0.500176191329956
198902,-0.5547065138816833,-0.47062957286834717
198903,-0.5341717600822449,-0.449020117521286
198904,-0.5041739344596863,-0.3364894986152649
198905,-0.5524660348892212,-0.39347419142723083
198906,-0.41225725412368774,-0.23125731945037842
198907,-0.48716190457344055,-0.2571870982646942
198908,-0.5488060712814331,-0.36486029624938965
198909,-0.5190617442131042,-0.3574032783508301
198910,-0.56680828332901,-0.4351014196872711
198911,-0.5191490054130554,-0.38533055782318115
198912,-0.3581959307193756,-0.3717004060745239
199001,-0.334083616733551,-0.23428837954998016
199002,-0.31624388694763184,-0.16086699068546295
199003,-0.3208101987838745,-0.2052488625049591
199004,-0.132693812251091,-0.14903376996517181
199005,-0.24531078338623047,-0.23382623493671417
199006,-0.23227694630622864,-0.2464626580476761
199007,-0.299007385969162,-0.3239278793334961
199008,-0.2002703845500946,-0.32221296429634094
199009,-0.18736861646175385,-0.49587905406951904
199010,-0.14606915414333344,-0.3179266154766083
199011,-0.2355000227689743,-0.3176640570163727
