ym,cape,gs10
190112,21.68021514102967,3.173333333333334
190201,22.340290796033557,3.18
190202,22.459957452460387,3.1900000000000004
190203,22.410652288217324,3.1999999999999997
190204,22.823108698497833,3.21
190205,22.427954493329793,3.2199999999999998
190206,21.963742295514617,3.2300000000000004
190207,22.385686589401352,3.2399999999999998
190208,23.168671834092848,3.25
190209,22.856566381954487,3.26
190210,20.604425401859793,3.27
190211,20.408541255072173,3.2800000000000002
190212,19.63323212682383,3.29
190301,20.318132053828485,3.3
190302,20.107051517552804,3.308333333333333
190303,19.884560384872824,3.3166666666666664
190304,18.98002260182625,3.325
190305,18.954858723039862,3.333333333333333
190306,17.8185517229685,3.341666666666667
190307,16.918178414766643,3.3499999999999996
190308,16.299118790903485,3.3583333333333334
190309,15.654359115196906,3.3666666666666663
190310,15.252943825778832,3.3749999999999996
190311,15.407877534297885,3.3833333333333333
190312,16.04289414005013,3.3916666666666666
190401,15.86183391403363,3.4
190402,15.02149838033143,3.4066666666666667
190403,15.081930176258854,3.4133333333333336
190404,15.565490611691471,3.42
190405,15.525820896254631,3.4266666666666667
190406,15.474433638652645,3.4333333333333336
190407,16.036401629624102,3.44
190408,16.304651978851027,3.4466666666666663
190409,16.74260004916368,3.453333333333333
190410,17.633197370821392,3.46
190411,18.07620022377006,3.466666666666667
190412,18.159679118703192,3.473333333333333
190501,18.459852032455835,3.48
190502,19.168996375829813,3.475833333333333
190503,19.831506074218407,3.4716666666666667
190504,19.482927524711275,3.4675
190505,18.62948750984511,3.463333333333333
190506,18.735862386183527,3.4591666666666665
190507,19.205883309548042,3.455
190508,19.573308430803714,3.4508333333333336
190509,19.743492419697777,3.4466666666666663
190510,19.89739481432952,3.4425000000000003
190511,19.443525693264977,3.438333333333334
190512,19.577960809096115,3.434166666666667
190601,20.132402260807893,3.43
190602,19.866752563675888,3.45
190603,19.25945302085411,3.4700000000000006
190604,18.876204996115877,3.49
190605,18.05404446092639,3.51
190606,18.172666376497496,3.5300000000000002
190607,18.19520014351374,3.55
190608,18.9672514775493,3.5700000000000003
190609,19.20099368200136,3.59
190610,18.095380908869103,3.61
190611,18.141851654007965,3.6300000000000003
190612,17.660003667768663,3.6499999999999995
190701,17.218913853705985,3.67
190702,16.217071288766157,3.6866666666666665
190703,14.687545255978653,3.7033333333333336
190704,14.66970990560274,3.7199999999999998
190705,13.790107153424247,3.736666666666667
190706,13.144269952673206,3.753333333333333
190707,13.58500735796184,3.7699999999999996
190708,12.513471604446611,3.7866666666666666
190709,12.32856965773663,3.8033333333333337
190710,10.831840153050607,3.82
190711,10.591177559189786,3.836666666666667
190712,11.333306235811177,3.853333333333333
190801,11.90296862826698,3.87
190802,11.554846295144793,3.8608333333333333
190803,11.984662664464294,3.8516666666666666
190804,12.448889158370367,3.8425
190805,13.078451355438336,3.833333333333333
190806,13.051684129229988,3.8241666666666663
190807,13.345487104834403,3.8149999999999995
190808,13.884232895208614,3.805833333333333
190809,13.701442268825112,3.7966666666666664
190810,13.690810359178707,3.7874999999999996
190811,14.43501409125626,3.778333333333333
