yyyymm,PLS_SENT,PLS_SENT_ORTH
196911,3.706235636221891,3.879241648359598
196912,3.496917223148257,3.976944829473619
197001,3.290672575834169,3.004411817139151
197002,3.048305624056862,2.721476056745751
197003,2.713179899244255,2.633032457467529
197004,2.494650844660861,2.270100651328673
197005,2.092318062383709,1.765525251466253
197006,1.723822411182672,1.535152251716732
197007,1.529614266117137,1.377432859213199
197008,1.391157878899396,1.116325958460366
197009,1.147592826440053,0.9922311375509566
197010,1.009515611343867,0.9112160742929343
197011,0.7806142763712905,0.7649513265388793
197012,0.4844511140402282,1.030783933042809
197101,0.3046478149783486,0.7287863666182535
197102,0.2008017633581389,0.7023070476868075
197103,0.07064805516912062,0.2948008020850438
197104,-0.02935886757975788,0.3002833641440292
197105,-0.1566468263568035,0.1755870945871169
197106,-0.08124518077875233,0.1663003302229124
197107,0.1024936370492012,0.3899834467786569
197108,0.05908297953190306,0.4555861750433434
197109,0.07530201366837808,0.2134010996640934
197110,-0.05335331414902029,-0.1530903783874251
197111,-0.2090086953730962,-0.3685193490061118
197112,-0.1701596696672262,-0.5944076566433315
197201,-0.1910585741845637,-0.6510806554908841
197202,-0.05823580247162893,-0.4567366000446318
197203,0.06152984521051248,-0.2963012070887746
197204,0.3040080667489749,-0.2173164733168667
197205,0.4434461756492654,0.1457559950317444
197206,0.5621098654954717,0.1822258489480016
197207,0.3569279813038114,-0.01391168850059481
197208,0.5824426110376648,0.09796551185315704
197209,0.5820306720299294,0.2233817984737017
197210,0.644943984249867,0.4087536810239485
197211,0.7232333208983307,0.2465936348602169
197212,0.8316232628917102,0.4737074671127133
197301,0.8636426583066104,0.9688241696904244
197302,0.9314019562132535,0.9624928205192169
197303,1.082079584721983,1.119089469880829
197304,1.04932291968204,1.272107776137544
197305,1.006686122309907,0.9145454243722207
197306,0.8343564772234678,0.9374373767329789
197307,0.8459833732041714,0.8990224955079807
197308,0.7637221699181234,0.9628411053465755
197309,0.7336814874324636,0.8437148141906115
197310,0.6202512101071327,0.6714814542325968
197311,0.5966077790793985,0.9259319474971267
197312,0.4918290521575132,0.1518969030531756
197401,0.2787105420261567,-0.1914307659606505
197402,0.07680773790651772,-0.3019585662301104
197403,-0.1781296549270718,-0.5652903552153982
197404,-0.3105669774706999,-0.7588633631164118
197405,-0.4561679615647806,-0.7900166184728115
197406,-0.5344865997320607,-0.9252833459472086
197407,-0.5733832308138903,-1.06717816403021
197408,-0.8106899545420999,-1.209300006828718
197409,-0.8612503102994412,-1.165058797130041
197410,-0.9366849338773546,-1.1496015657133
197411,-1.195242232358564,-1.412849972747278
197412,-1.230374879697563,-1.328102222718994
197501,-1.26690325087057,-1.414755954116828
197502,-1.271415415849575,-1.563744775382024
197503,-1.291556302889551,-1.512512198670856
197504,-1.379573582056557,-0.8879181373023165
197505,-1.226859168995958,-0.6182027229834302
197506,-1.2250881186636,-0.707842546538667
197507,-1.234192135377953,-0.7057695976900279
197508,-1.222548145461749,-0.9153527870486877
197509,-1.445843427120154,-1.144436683068274
197510,-1.108750923058401,-0.9006387113001989
197511,-1.086994274162051,-1.023854107415856
197512,-1.079593037768081,-1.165150690374159
197601,-1.054374216565081,-1.231143934801832
197602,-1.225717053217809,-1.488271302983975
197603,-0.8761867913912702,-1.221462611280836
197604,-0.9227231674625324,-1.272608602351486
197605,-0.9149102630276087,-1.583803270387837
197606,-0.9092737742826174,-1.437372945162616
197607,-0.7885740693954011,-1.376515159597082
197608,-0.8655893832929036,-1.424298165996959
197609,-1.107152223583401,-1.649104549793106
197610,-1.153668549811749,-1.5238295687282
197611,-1.145994031532114,-1.78133814456041
197612,-1.206849850620531,-1.863588387219841
197701,-1.105150013172436,-1.620091245301419
197702,-1.031693226128564,-1.458132273035496
197703,-1.029361098384249,-1.487933443804811
197704,-1.0072522998175,-1.611992981283452
197705,-1.04124632940824,-1.318882682526005
197706,-1.040481074472999,-1.554028400401701
197707,-0.9966795750028057,-1.326884003691161
197708,-0.994329899011597,-1.233666236126557
197709,-0.9410416962256074,-1.169889726228364
197710,-0.9181550400146921,-1.293062123742262
197711,-0.8162699068030271,-0.7624960627641959
197712,-0.7595761847741235,-0.6916094202945559
197801,-0.7677873027282385,-0.5511774720346961
197802,-0.733195784476827,-0.5233314058315771
197803,-0.6376478996819135,-0.5027775600371308
197804,-0.04595277935682129,-0.04425785842533605
197805,0.01128637930470667,0.03796988416466325
197806,-0.0087094878733592,0.2059032789034901
197807,-0.0313503617106748,0.1826349074933885
197808,0.03348538203875119,0.1631535489433534
197809,0.2354436276839301,0.4312136699988652
197810,0.2315711361353927,0.2848130356001779
197811,0.1366273116757037,-0.04466350594858101
197812,0.215912945308277,0.1941705736756971
197901,0.4415875333864219,0.4147307583683327
197902,0.3020922636214274,0.3020032404517552
197903,0.07911510055856616,0.2461260742646602
197904,-0.1640849096898178,0.1915398857559984
197905,-0.005452752219163897,0.2211357245903092
197906,0.4073419518435043,0.7096068446314067
197907,0.5240054447331075,0.8159552844960296
197908,0.5275958998704507,0.9579100987741979
197909,0.6190380023544748,1.040650337512002
197910,0.5017075466200815,1.025964765009751
197911,0.3966176816985942,0.9819705961216264
197912,0.2347493368020256,0.7646504695609975
198001,0.08955501402027705,0.5084157594736669
198002,0.1511495982069924,-0.1361238262628377
198003,0.2744909802072922,-0.001158791734944117
198004,0.08542451386091758,0.09172787728182018
198005,0.3176131663593507,0.4096756924004818
198006,0.3643475853792128,0.2335101923436581
198007,0.3308269225441909,0.0727080499849073
198008,0.2402976900276384,0.6832369202476797
198009,0.2510682163556796,0.4331105955394696
198010,0.2893110904824178,0.5076326027290724
198011,0.4596640856559941,0.5736272799019257
198012,0.7559448447827758,0.8663529999440441
198101,1.345207074764854,1.517837745197121
