ym,bullish,neutral,bearish,spread,n_weeks
200004,0.55675,0.22442499999999999,0.21882500000000002,0.3379249999999999,4
200005,0.33805,0.3168,0.345125,-0.007074999999999998,4
200006,0.434075,0.2676,0.298325,0.13574999999999998,4
200007,0.5765750000000001,0.2538,0.169625,0.40695000000000003,4
200008,0.5367,0.27358000000000005,0.18974,0.34695999999999994,5
200009,0.5019,0.3549,0.1432,0.3587,4
200010,0.490975,0.259275,0.249775,0.2412,4
200011,0.51446,0.28356,0.202,0.31246,5
200012,0.444475,0.1729,0.382625,0.061850000000000016,4
200101,0.4103,0.296,0.293675,0.11662499999999998,4
200102,0.405775,0.359225,0.235025,0.17074999999999999,4
200103,0.34704,0.30004,0.35287999999999997,-0.005839999999999956,5
200104,0.38935,0.25582499999999997,0.354825,0.03452499999999997,4
200105,0.5597,0.23335999999999996,0.20692,0.35278,5
200106,0.341925,0.398525,0.2595,0.08242499999999997,4
200107,0.36382499999999995,0.3659,0.27025,0.09357499999999996,4
200108,0.34526,0.34378000000000003,0.31092,0.03434000000000004,5
200109,0.348,0.30905,0.34297500000000003,0.005024999999999946,4
200110,0.537575,0.22212500000000002,0.2403,0.297275,4
200111,0.48545999999999995,0.20659999999999998,0.30794,0.17751999999999996,5
200112,0.5768249999999999,0.19395,0.2292,0.34762499999999996,4
200201,0.43118,0.31029999999999996,0.2585,0.17268,5
200202,0.40865,0.37915,0.2122,0.19645,4
200203,0.535425,0.303,0.16155,0.37387500000000007,4
200204,0.3639,0.38585,0.250175,0.11372500000000002,4
200205,0.29706,0.3367,0.36624,-0.06918000000000002,5
200206,0.353225,0.285,0.361775,-0.008550000000000002,4
200207,0.289425,0.23125,0.47935,-0.189925,4
200208,0.40718,0.23098000000000002,0.36182,0.04536000000000001,5
200209,0.320325,0.23645,0.443225,-0.12289999999999995,4
200210,0.39916,0.19316,0.40768000000000004,-0.008520000000000028,5
200211,0.500675,0.219275,0.28002499999999997,0.22065,4
200212,0.44295,0.297575,0.259475,0.183475,4
200301,0.30046,0.29774,0.40184,-0.10137999999999997,5
200302,0.229575,0.348275,0.422125,-0.19254999999999997,4
200303,0.37474999999999997,0.221225,0.40402499999999997,-0.029274999999999995,4
200304,0.450275,0.251,0.298725,0.15154999999999996,4
200305,0.53096,0.24852,0.22052,0.31044,5
200306,0.5746,0.1933,0.2321,0.3425,4
200307,0.47844,0.23803999999999997,0.28352,0.19491999999999998,5
200308,0.539175,0.21765,0.243175,0.29599999999999993,4
200309,0.601175,0.209425,0.189425,0.41175,4
200310,0.55702,0.24095999999999998,0.20202,0.355,5
200311,0.5613,0.25665,0.182075,0.37922500000000003,4
200312,0.625875,0.19387500000000002,0.180225,0.44565,4
200401,0.6445000000000001,0.21568,0.13982,0.50468,5
200402,0.5126000000000001,0.267525,0.21987500000000001,0.292725,4
200403,0.398,0.31327499999999997,0.28875,0.10925000000000001,4
200404,0.5554,0.24430000000000002,0.20028,0.35512,5
200405,0.361625,0.26130000000000003,0.37705,-0.015425000000000022,4
200406,0.466025,0.301025,0.23297500000000002,0.23305,4
200407,0.45830000000000004,0.30034,0.24135999999999996,0.21694000000000008,5
200408,0.364925,0.2998,0.33525,0.029675000000000007,4
200409,0.45946,0.2406,0.29994,0.15952,5
200410,0.466075,0.26285000000000003,0.2711,0.194975,4
200411,0.5830500000000001,0.1827,0.23422500000000002,0.34882500000000005,4
200412,0.55706,0.2319,0.21105999999999997,0.34600000000000003,5
200501,0.33045,0.308325,0.3612,-0.03075,4
200502,0.384,0.341975,0.274025,0.10997499999999999,4
200503,0.3466,0.29864,0.35476,-0.00816,5
200504,0.27702499999999997,0.339875,0.383075,-0.10605000000000003,4
200505,0.355375,0.31127499999999997,0.333325,0.022050000000000014,4
200506,0.47024,0.31886000000000003,0.21088,0.25936,5
200507,0.499002,0.30209775,0.19892525,0.30007675,4
200508,0.3825,0.300825,0.31667500000000004,0.06582499999999997,4
200509,0.3937,0.2653,0.341,0.05269999999999997,5
200510,0.4103,0.1958,0.393875,0.016425000000000023,4
200511,0.531325,0.247825,0.22085,0.31047500000000006,4
200512,0.45284,0.28868,0.2585,0.19434,5
200601,0.42269999999999996,0.281175,0.29614999999999997,0.12655,4
200602,0.42069999999999996,0.249275,0.33004999999999995,0.09065000000000001,4
200603,0.41932,0.27522,0.30544000000000004,0.11387999999999998,5
200604,0.42217499999999997,0.2581,0.319725,0.10244999999999999,4
200605,0.43305,0.1915,0.375475,0.05757499999999999,4
200606,0.31282,0.22433999999999998,0.46285999999999994,-0.15003999999999995,5
200607,0.332325,0.21050000000000002,0.45715,-0.12482500000000002,4
200608,0.359,0.26558000000000004,0.3754,-0.016400000000000026,5
200609,0.475025,0.186525,0.33847499999999997,0.13655,4
200610,0.48282500000000006,0.155625,0.361575,0.12125000000000008,4
200611,0.44614000000000004,0.18717999999999999,0.36669999999999997,0.07944000000000007,5
200612,0.413375,0.191325,0.3953,0.018075000000000008,4
200701,0.477175,0.2129,0.310425,0.16675,4
200702,0.484725,0.23055,0.284775,0.19995000000000002,4
200703,0.38395999999999997,0.23891999999999997,0.3771,0.006859999999999977,5
200704,0.398225,0.23835,0.363425,0.0348,4
200705,0.361,0.20482,0.43420000000000003,-0.07320000000000004,5
200706,0.400175,0.2106,0.389175,0.01100000000000001,4
200707,0.43365,0.2253,0.341075,0.09257499999999996,4
200708,0.43088,0.14123999999999998,0.42786,0.003019999999999967,5
200709,0.41747500000000004,0.22367499999999998,0.35885,0.05862500000000004,4
200710,0.44915,0.21334999999999998,0.33747499999999997,0.11167500000000002,4
200711,0.33612000000000003,0.1714,0.49248000000000003,-0.15636,5
200712,0.3853,0.1829,0.43179999999999996,-0.046499999999999986,4
200801,0.24972,0.1975,0.5529,-0.30317999999999995,5
200802,0.337325,0.21515,0.44755,-0.11022500000000002,4
200803,0.27302499999999996,0.23025,0.496675,-0.22365000000000002,4
200804,0.39875,0.21915,0.3821,0.016649999999999998,4
200805,0.45784,0.22068,0.32148000000000004,0.13635999999999998,5
200806,0.3474,0.17855,0.47405,-0.12665000000000004,4
200807,0.29384,0.20482,0.50132,-0.20748,5
200808,0.36812500000000004,0.221525,0.410325,-0.04219999999999996,4
200809,0.3189,0.18545,0.495625,-0.17672499999999997,4
200810,0.36324,0.16694,0.46984000000000004,-0.10660000000000003,5
200811,0.34695,0.2084,0.44465,-0.09770000000000001,4
200812,0.332125,0.250175,0.41775,-0.085625,4
200901,0.30562,0.233,0.46134000000000003,-0.15572000000000003,5
200902,0.2587,0.253475,0.48782500000000006,-0.22912500000000008,4
200903,0.326875,0.159625,0.5135,-0.18662499999999993,4
200904,0.38083999999999996,0.22025999999999998,0.39892,-0.01808000000000004,5
200905,0.404975,0.188675,0.40635,-0.001375000000000015,4
200906,0.37035,0.20197500000000002,0.427675,-0.057325000000000015,4
200907,0.35940000000000005,0.2004,0.44020000000000004,-0.08079999999999998,5
200908,0.42262500000000003,0.18562499999999998,0.39175000000000004,0.030874999999999986,4
200909,0.39132500000000003,0.19235,0.4163,-0.02497499999999997,4
200910,0.40014000000000005,0.22284,0.37702,0.02312000000000003,5
200911,0.36302500000000004,0.217825,0.41910000000000003,-0.056074999999999986,4
200912,0.42645999999999995,0.25736,0.31616,0.11029999999999995,5
201001,0.40859999999999996,0.280575,0.310825,0.09777499999999995,4
201002,0.3418,0.2839,0.374275,-0.03247500000000003,4
201003,0.372275,0.337625,0.2901,0.082175,4
201004,0.42424,0.26754,0.30822,0.11602000000000001,5
201005,0.36715,0.2585,0.374375,-0.007225000000000037,4
201006,0.3712,0.2612,0.3676,0.003599999999999992,4
201007,0.31429999999999997,0.25528,0.43043999999999993,-0.11613999999999997,5
201008,0.3025,0.29675,0.40075,-0.09825,4
